"STATISTIC Label","Year","Taxation Class","Type of Fuel","UNIT","VALUE"
"New and Secondhand Vehicles","2013","Secondhand Tractors","Electric","Number","0"
"New and Secondhand Vehicles","2013","Secondhand Tractors","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","Secondhand Other Vehicles","All fuel types","Number","5576"
"New and Secondhand Vehicles","2013","Secondhand Other Vehicles","Petrol","Number","1622"
"New and Secondhand Vehicles","2013","Secondhand Other Vehicles","Diesel","Number","3896"
"New and Secondhand Vehicles","2013","Secondhand Other Vehicles","Other fuel types","Number","3"
"New and Secondhand Vehicles","2013","Secondhand Other Vehicles","Electric","Number","0"
"New and Secondhand Vehicles","2013","Secondhand Other Vehicles","Hybrid","Number","55"
"New and Secondhand Vehicles","2013","Secondhand Motor Cycles","All fuel types","Number","1687"
"New and Secondhand Vehicles","2013","Secondhand Motor Cycles","Petrol","Number","1680"
"New and Secondhand Vehicles","2013","Secondhand Motor Cycles","Diesel","Number","7"
"New and Secondhand Vehicles","2013","Secondhand Motor Cycles","Other fuel types","Number","0"
"New and Secondhand Vehicles","2013","Secondhand Motor Cycles","Electric","Number","0"
"New and Secondhand Vehicles","2013","Secondhand Motor Cycles","Hybrid","Number","0"
"New and Secondhand Vehicles","2013","All Private Cars","All fuel types","Number","121110"
"New and Secondhand Vehicles","2013","All Private Cars","Petrol","Number","25849"
"New and Secondhand Vehicles","2013","All Private Cars","Diesel","Number","94176"
"New and Secondhand Vehicles","2013","All Private Cars","Other fuel types","Number","8"
"New and Secondhand Vehicles","2013","All Private Cars","Electric","Number","67"
"New and Secondhand Vehicles","2013","All Private Cars","Hybrid","Number","1010"
"New and Secondhand Vehicles","2013","All Goods Vehicles","All fuel types","Number","18557"
"New and Secondhand Vehicles","2013","All Goods Vehicles","Petrol","Number","18"
"New and Secondhand Vehicles","2013","All Goods Vehicles","Diesel","Number","18521"
"New and Secondhand Vehicles","2013","All Goods Vehicles","Other fuel types","Number","11"
"New and Secondhand Vehicles","2013","All Goods Vehicles","Electric","Number","7"
